"Season","Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"2009","Jacoby Ellsbury","Red Sox","693","7.1 %","10.7 %","0.66",".301",".355",".415",".770",".114","8.1",".328","-1.5","8.5","89","5.7",".339","98","4727"
"2004","Jermaine Dye","Athletics","590","8.3 %","21.7 %","0.38",".265",".329",".464",".793",".199","4.5",".306","-3.3","-0.2","77","4.2",".339","103","911"
"2007","Austin Kearns","Nationals","674","10.5 %","15.7 %","0.67",".266",".355",".411",".765",".145","2.4",".299","1.6","-1.1","88","4.2",".338","104","332"
"2008","Garrett Atkins","Rockies","664","6.0 %","15.1 %","0.40",".286",".328",".452",".780",".165","3.1",".308","-0.3","-0.7","86","5.6",".338","94","1790"
"2000","Jose Cruz","Blue Jays","681","10.4 %","18.9 %","0.55",".242",".323",".466",".789",".224","5.5",".258"," ","0.8","88","-1.4",".338","93","1296"
"2008","Hunter Pence","Astros","642","6.2 %","19.3 %","0.32",".269",".318",".466",".783",".197","4.4",".301","3.6","-2.4","83","5.3",".338","105","8252"
"2001","Mike Lowell","Marlins","614","7.0 %","12.9 %","0.54",".283",".340",".448",".789",".165","1.5",".297"," ","-0.7","82","5.8",".338","106","527"
"2008","Placido Polanco","Tigers","629","5.6 %","6.8 %","0.81",".307",".350",".417",".768",".110","4.7",".319","1.1","0.5","81","5.2",".338","103","1176"
"2008","Mike Jacobs","Marlins","519","6.9 %","22.9 %","0.30",".247",".299",".514",".812",".266","3.1",".260","-2.6","0.0","67","4.3",".338","102","2231"
"2011","Adam Jones","Orioles","618","4.7 %","18.3 %","0.26",".280",".319",".466",".785",".185","4.3",".304","3.9","0.3","80","10.9",".338","109","6368"
"2004","Mike Lieberthal","Phillies","529","7.0 %","13.0 %","0.54",".271",".335",".447",".783",".176","2.3",".284","-4.8","-0.3","69","3.6",".338","99","959"
"2007","Jeff Francoeur","Braves","696","6.0 %","18.5 %","0.33",".293",".338",".444",".782",".151","2.8",".337","-2.1","-0.4","90","4.2",".338","101","4792"
"2002","Kenny Lofton","- - -","611","11.8 %","11.9 %","0.99",".261",".350",".414",".763",".152","7.5",".285","-0.5","1.1","80","6.2",".338","105","246"
"2009","Curtis Granderson","Tigers","710","10.1 %","19.9 %","0.51",".249",".327",".453",".780",".204","6.1",".275","-0.8","1.1","91","5.6",".338","101","4747"
"2008","Mark Reynolds","Diamondbacks","613","10.4 %","33.3 %","0.31",".239",".320",".458",".779",".219","5.5",".323","0.5","1.0","79","5.0",".338","97","7619"
"2004","D'Angelo Jimenez","Reds","652","12.6 %","15.2 %","0.83",".270",".364",".394",".758",".124","4.3",".308","-2.5","-0.6","85","4.4",".338","100","1038"
"2005","Rafael Furcal","Braves","689","9.0 %","11.3 %","0.79",".284",".348",".429",".777",".144","7.9",".307","3.0","4.7","90","7.0",".338","105","88"
"2003","Tino Martinez","Cardinals","547","9.7 %","13.0 %","0.75",".273",".352",".429",".781",".155","2.7",".290","-5.0","-0.3","72","4.7",".338","104","1168"
"2009","Scott Podsednik","White Sox","587","6.6 %","12.6 %","0.53",".304",".353",".412",".764",".108","6.4",".341","4.6","0.1","75","4.5",".338","99","1095"
"2010","Drew Stubbs","Reds","583","9.4 %","28.8 %","0.33",".255",".329",".444",".773",".189","7.7",".330","6.9","3.1","75","7.9",".338","105","9328"
"2002","Jay Gibbons","Orioles","541","8.3 %","12.2 %","0.68",".247",".311",".482",".792",".235","2.5",".233","-0.1","-1.1","70","5.4",".338","109","141"
"2005","David Eckstein","Cardinals","713","8.1 %","6.2 %","1.32",".294",".363",".395",".758",".102","4.8",".304","0.2","-1.5","93","7.1",".338","105","10"
"2009","Skip Schumaker","Cardinals","586","8.9 %","11.8 %","0.75",".303",".364",".393",".757",".090","2.9",".341","2.6","-0.9","75","4.4",".338","107","3704"
"2009","Nyjer Morgan","- - -","533","7.5 %","13.9 %","0.54",".307",".369",".388",".757",".081","7.4",".355","3.1","0.8","68","4.0",".338","104","4885"
"2007","Reggie Willits","Angels","518","13.3 %","16.0 %","0.83",".293",".391",".344",".735",".051","5.5",".358","2.3","1.4","67","2.9",".338","104","5590"
